Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min,Assigned_Machine
Формовой_batch_22,Формовка,408,418,10,former_1
Баварский Деревенский Ржаной_batch_1,Смешивание,410,420,10,mixer_0
Батон Нарезной_batch_1,Комбинирование,410,431,21,combiner_1
Багет новый_batch_1,Смешивание,417,427,10,mixer_1
Батон Нарезной_batch_2,Комбинирование,417,438,21,combiner_0
Батон Нарезной_batch_3,Формовка,418,429,11,former_0
Формовой_batch_22,Расстойка,418,443,25,
Формовой_batch_7,Остывание,419,509,90,
Баварский Деревенский Ржаной_batch_1,Формовка,420,422,2,former_1
Баварский Деревенский Ржаной_batch_1,Расстойка,422,452,30,
Формовой_batch_17,Выпекание,426,471,45,
Багет новый_batch_1,Формовка,427,438,11,former_1
Батон Нарезной_batch_3,Расстойка,429,454,25,
Береке_batch_1,Выпекание,429,445,16,
Формовой_batch_19,Остывание,429,519,90,
Батон Нарезной_batch_1,Смешивание,431,441,10,mixer_2
Жайлы_batch_2,Комбинирование,431,445,14,combiner_1
Хлеб «Зерновой»_batch_2,Остывание,432,507,75,
Мини формовой_batch_4,Остывание,434,524,90,
Багет новый_batch_1,Расстойка,438,463,25,
Батон Нарезной_batch_2,Смешивание,438,448,10,mixer_0
Хлеб «Зерновой»_batch_1,Комбинирование,438,459,21,combiner_0
Батон Нарезной_batch_1,Формовка,441,452,11,former_0
Диета_batch_4,Остывание,443,533,90,
Формовой_batch_22,Выпекание,443,488,45,
Береке_batch_1,Остывание,445,505,60,
Булочка для гамбургера большой с кунжутом_batch_13,Комбинирование,445,466,21,combiner_1
Жайлы_batch_2,Смешивание,445,455,10,mixer_2
Батон Нарезной_batch_2,Формовка,448,459,11,former_1
Формовой_batch_13,Остывание,450,540,90,
Баварский Деревенский Ржаной_batch_1,Выпекание,452,470,18,
Батон Нарезной_batch_1,Расстойка,452,477,25,
Батон Нарезной_batch_3,Выпекание,454,471,17,
Жайлы_batch_2,Формовка,455,463,8,former_0
Багет новый_batch_3,Комбинирование,459,480,21,combiner_0
Батон Нарезной_batch_2,Расстойка,459,484,25,
Хлеб «Зерновой»_batch_1,Смешивание,459,469,10,mixer_1
Багет новый_batch_1,Выпекание,463,488,25,
Жайлы_batch_2,Расстойка,463,488,25,
Булочка для гамбургера большой с кунжутом_batch_13,Смешивание,466,476,10,mixer_2
Булочка для гамбургера большой с кунжутом_batch_15,Комбинирование,466,487,21,combiner_1
Хлеб «Зерновой»_batch_1,Формовка,469,480,11,former_0
Баварский Деревенский Ржаной_batch_1,Остывание,470,560,90,
Батон Нарезной_batch_3,Остывание,471,531,60,
Формовой_batch_17,Остывание,471,561,90,
Булочка для гамбургера большой с кунжутом_batch_13,Формовка,476,487,11,former_1
Батон Нарезной_batch_1,Выпекание,477,494,17,
Багет новый_batch_3,Смешивание,480,490,10,mixer_2
Жайлы_batch_1,Комбинирование,480,501,21,combiner_0
Хлеб «Зерновой»_batch_1,Расстойка,480,505,25,
Батон Нарезной_batch_2,Выпекание,484,501,17,
