Batch_ID,Product,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Батон Нарезной_batch_3,Батон Нарезной,Выпекание,384,401,17
Формовой_batch_2,Формовой,Расстойка,384,409,25
Булочка для гамбургера большой с кунжутом_batch_7,Булочка для гамбургера большой с кунжутом,Остывание,385,430,45
Славянский_batch_1,Славянский,Комбинирование,391,393,2
Батон Нарезной_batch_4,Батон Нарезной,Смешивание,392,402,10
Диета_batch_1,Диета,Формовка,392,403,11
Булочка для гамбургера большой с кунжутом_batch_4,Булочка для гамбургера большой с кунжутом,Комбинирование,393,414,21
Славянский_batch_1,Славянский,Смешивание,393,403,10
Сэндвич_batch_13,Сэндвич,Формовка,393,404,11
Сэндвич_batch_2,Сэндвич,Остывание,395,440,45
Хлеб «Тартин бездрожжевой»_batch_1,Хлеб «Тартин бездрожжевой»,Остывание,395,455,60
Багет отрубной_batch_1,Багет отрубной,Остывание,400,445,45
Батон Нарезной_batch_3,Батон Нарезной,Остывание,401,461,60
Диета_batch_1,Диета,Расстойка,403,441,38
Формовой_batch_3,Формовой,Смешивание,403,415,12
Формовой_batch_6,Формовой,Комбинирование,403,424,21
Батон Нарезной_batch_4,Батон Нарезной,Формовка,404,408,4
Сэндвич_batch_13,Сэндвич,Расстойка,404,429,25
Батон Нарезной_batch_4,Батон Нарезной,Расстойка,408,433,25
Славянский_batch_1,Славянский,Формовка,408,409,1
Сэндвич_batch_9,Сэндвич,Выпекание,408,430,22
Славянский_batch_1,Славянский,Расстойка,409,434,25
Формовой_batch_2,Формовой,Выпекание,409,454,45
Булочка для гамбургера большой с кунжутом_batch_4,Булочка для гамбургера большой с кунжутом,Смешивание,414,424,10
Домашний_batch_1,Домашний,Комбинирование,414,417,3
Формовой_batch_3,Формовой,Формовка,415,426,11
Домашний_batch_1,Домашний,Смешивание,417,427,10
Сэндвич_batch_1,Сэндвич,Комбинирование,417,438,21
Булочка для гамбургера большой с кунжутом_batch_4,Булочка для гамбургера большой с кунжутом,Формовка,424,435,11
Сэндвич_batch_3,Сэндвич,Комбинирование,424,445,21
Формовой_batch_6,Формовой,Смешивание,424,436,12
Формовой_batch_3,Формовой,Расстойка,426,451,25
Сэндвич_batch_13,Сэндвич,Выпекание,429,451,22
Сэндвич_batch_9,Сэндвич,Остывание,430,475,45
Батон Нарезной_batch_4,Батон Нарезной,Выпекание,433,450,17
Славянский_batch_1,Славянский,Выпекание,434,451,17
Булочка для гамбургера большой с кунжутом_batch_4,Булочка для гамбургера большой с кунжутом,Расстойка,435,460,25
Домашний_batch_1,Домашний,Формовка,435,437,2
Формовой_batch_6,Формовой,Формовка,436,447,11
Домашний_batch_1,Домашний,Расстойка,437,462,25
Семейный_batch_4,Семейный,Комбинирование,438,446,8
Сэндвич_batch_1,Сэндвич,Смешивание,438,448,10
Диета_batch_1,Диета,Выпекание,441,476,35
Сэндвич_batch_3,Сэндвич,Смешивание,445,455,10
Формовой_batch_22,Формовой,Комбинирование,445,463,18
Семейный_batch_4,Семейный,Смешивание,446,456,10
Формовой_batch_8,Формовой,Комбинирование,446,467,21
Формовой_batch_6,Формовой,Расстойка,447,472,25
Сэндвич_batch_1,Сэндвич,Формовка,448,459,11
Батон Нарезной_batch_4,Батон Нарезной,Остывание,450,510,60
Славянский_batch_1,Славянский,Остывание,451,511,60
Сэндвич_batch_13,Сэндвич,Остывание,451,496,45
Формовой_batch_3,Формовой,Выпекание,451,496,45
Формовой_batch_2,Формовой,Остывание,454,544,90
Сэндвич_batch_3,Сэндвич,Формовка,455,466,11
Семейный_batch_4,Семейный,Формовка,459,463,4
Сэндвич_batch_1,Сэндвич,Расстойка,459,484,25
Булочка для гамбургера большой с кунжутом_batch_4,Булочка для гамбургера большой с кунжутом,Выпекание,460,482,22
Домашний_batch_1,Домашний,Выпекание,462,479,17
Булочка для гамбургера большой с кунжутом_batch_16,Булочка для гамбургера большой с кунжутом,Комбинирование,463,470,7
Семейный_batch_4,Семейный,Расстойка,463,488,25
Формовой_batch_22,Формовой,Смешивание,463,475,12
Сэндвич_batch_3,Сэндвич,Расстойка,466,491,25
Формовой_batch_17,Формовой,Комбинирование,467,488,21
Формовой_batch_8,Формовой,Смешивание,467,479,12
Булочка для гамбургера большой с кунжутом_batch_16,Булочка для гамбургера большой с кунжутом,Смешивание,470,480,10
Сэндвич_batch_12,Сэндвич,Комбинирование,470,491,21
Формовой_batch_6,Формовой,Выпекание,472,517,45
Формовой_batch_22,Формовой,Формовка,475,485,10
Диета_batch_1,Диета,Остывание,476,566,90
Домашний_batch_1,Домашний,Остывание,479,539,60
Формовой_batch_8,Формовой,Формовка,479,490,11
Булочка для гамбургера большой с кунжутом_batch_4,Булочка для гамбургера большой с кунжутом,Остывание,482,527,45
Сэндвич_batch_1,Сэндвич,Выпекание,484,506,22
Булочка для гамбургера большой с кунжутом_batch_16,Булочка для гамбургера большой с кунжутом,Формовка,485,489,4
Формовой_batch_22,Формовой,Расстойка,485,510,25
Семейный_batch_4,Семейный,Выпекание,488,505,17
Формовой_batch_17,Формовой,Смешивание,488,500,12
Формовой_batch_7,Формовой,Комбинирование,488,509,21
Булочка для гамбургера большой с кунжутом_batch_16,Булочка для гамбургера большой с кунжутом,Расстойка,489,514,25
Формовой_batch_8,Формовой,Расстойка,490,515,25
Сэндвич_batch_12,Сэндвич,Смешивание,491,501,10
Сэндвич_batch_3,Сэндвич,Выпекание,491,513,22
Формовой_batch_21,Формовой,Комбинирование,491,512,21
Формовой_batch_3,Формовой,Остывание,496,586,90
Формовой_batch_17,Формовой,Формовка,500,511,11
Сэндвич_batch_12,Сэндвич,Формовка,501,512,11
Семейный_batch_4,Семейный,Остывание,505,565,60
Сэндвич_batch_1,Сэндвич,Остывание,506,551,45
Булочка для гамбургера большой с кунжутом_batch_5,Булочка для гамбургера большой с кунжутом,Комбинирование,509,530,21
Формовой_batch_7,Формовой,Смешивание,509,521,12
Формовой_batch_22,Формовой,Выпекание,510,555,45
Формовой_batch_17,Формовой,Расстойка,511,536,25
Батон Верный_batch_1,Батон Верный,Комбинирование,512,523,11
Сэндвич_batch_12,Сэндвич,Расстойка,512,537,25
Формовой_batch_21,Формовой,Смешивание,512,524,12
Сэндвич_batch_3,Сэндвич,Остывание,513,558,45
Булочка для гамбургера большой с кунжутом_batch_16,Булочка для гамбургера большой с кунжутом,Выпекание,514,536,22
Формовой_batch_8,Формовой,Выпекание,515,560,45
Формовой_batch_6,Формовой,Остывание,517,607,90
Формовой_batch_7,Формовой,Формовка,521,532,11
Батон Верный_batch_1,Батон Верный,Смешивание,523,533,10
Формовой_batch_20,Формовой,Комбинирование,523,544,21
Формовой_batch_21,Формовой,Формовка,524,535,11
Булочка для гамбургера большой с кунжутом_batch_5,Булочка для гамбургера большой с кунжутом,Смешивание,530,540,10
Плетенка_batch_2,Плетенка,Комбинирование,530,539,9
Формовой_batch_7,Формовой,Расстойка,532,557,25
Батон Верный_batch_1,Батон Верный,Формовка,535,541,6
Формовой_batch_21,Формовой,Расстойка,535,560,25
Булочка для гамбургера большой с кунжутом_batch_16,Булочка для гамбургера большой с кунжутом,Остывание,536,581,45
Формовой_batch_17,Формовой,Выпекание,536,581,45
Сэндвич_batch_12,Сэндвич,Выпекание,537,559,22
Береке_batch_1,Береке,Комбинирование,539,560,21
Плетенка_batch_2,Плетенка,Смешивание,539,549,10
Булочка для гамбургера большой с кунжутом_batch_5,Булочка для гамбургера большой с кунжутом,Формовка,540,551,11
Батон Верный_batch_1,Батон Верный,Расстойка,541,566,25
Сэндвич_batch_7,Сэндвич,Комбинирование,544,565,21
Формовой_batch_20,Формовой,Смешивание,544,556,12
Булочка для гамбургера большой с кунжутом_batch_5,Булочка для гамбургера большой с кунжутом,Расстойка,551,576,25
Плетенка_batch_2,Плетенка,Формовка,551,556,5
Формовой_batch_22,Формовой,Остывание,555,645,90
Плетенка_batch_2,Плетенка,Расстойка,556,581,25
Формовой_batch_20,Формовой,Формовка,556,567,11
Формовой_batch_7,Формовой,Выпекание,557,602,45
Сэндвич_batch_12,Сэндвич,Остывание,559,604,45
Багет новый_batch_4,Багет новый,Комбинирование,560,561,1
Береке_batch_1,Береке,Смешивание,560,570,10
Формовой_batch_21,Формовой,Выпекание,560,605,45
Формовой_batch_8,Формовой,Остывание,560,650,90
Багет луковый_batch_1,Багет луковый,Комбинирование,561,573,12
Багет новый_batch_4,Багет новый,Смешивание,561,571,10
Булочка для хотдога штучно_batch_1,Булочка для хотдога штучно,Комбинирование,565,586,21
Сэндвич_batch_7,Сэндвич,Смешивание,565,575,10
Батон Верный_batch_1,Батон Верный,Выпекание,566,583,17
Формовой_batch_20,Формовой,Расстойка,567,592,25
Береке_batch_1,Береке,Формовка,570,581,11
Багет луковый_batch_1,Багет луковый,Смешивание,573,583,10
Здоровье_batch_1,Здоровье,Комбинирование,573,577,4
Сэндвич_batch_7,Сэндвич,Формовка,575,586,11
Булочка для гамбургера большой с кунжутом_batch_5,Булочка для гамбургера большой с кунжутом,Выпекание,576,598,22
Здоровье_batch_1,Здоровье,Смешивание,577,587,10
Сэндвич_batch_11,Сэндвич,Комбинирование,577,598,21
Багет новый_batch_4,Багет новый,Формовка,581,582,1
Береке_batch_1,Береке,Расстойка,581,601,20
Плетенка_batch_2,Плетенка,Выпекание,581,598,17
Формовой_batch_17,Формовой,Остывание,581,671,90
Багет новый_batch_4,Багет новый,Расстойка,582,607,25
Багет луковый_batch_1,Багет луковый,Формовка,583,590,7
Батон Верный_batch_1,Батон Верный,Остывание,583,643,60
Булочка для хотдога штучно_batch_1,Булочка для хотдога штучно,Смешивание,586,596,10
Сэндвич_batch_14,Сэндвич,Комбинирование,586,599,13
Сэндвич_batch_7,Сэндвич,Расстойка,586,611,25
Багет луковый_batch_1,Багет луковый,Расстойка,590,610,20
Здоровье_batch_1,Здоровье,Формовка,590,592,2
Здоровье_batch_1,Здоровье,Расстойка,592,617,25
Формовой_batch_20,Формовой,Выпекание,592,637,45
Булочка для хотдога штучно_batch_1,Булочка для хотдога штучно,Формовка,596,607,11
Булочка для гамбургера большой с кунжутом_batch_5,Булочка для гамбургера большой с кунжутом,Остывание,598,643,45
Датский_batch_1,Датский,Комбинирование,598,605,7
Плетенка_batch_2,Плетенка,Остывание,598,658,60
Сэндвич_batch_11,Сэндвич,Смешивание,598,608,10
Семейный_batch_2,Семейный,Комбинирование,599,620,21
Сэндвич_batch_14,Сэндвич,Смешивание,599,609,10
Береке_batch_1,Береке,Выпекание,601,617,16
Формовой_batch_7,Формовой,Остывание,602,692,90
Датский_batch_1,Датский,Смешивание,605,615,10
Формовой_batch_21,Формовой,Остывание,605,695,90
Чиабатта_batch_1,Чиабатта,Комбинирование,605,609,4
Багет новый_batch_4,Багет новый,Выпекание,607,632,25
Булочка для хотдога штучно_batch_1,Булочка для хотдога штучно,Расстойка,607,632,25
Сэндвич_batch_11,Сэндвич,Формовка,608,619,11
Жайлы_batch_1,Жайлы,Комбинирование,609,630,21
Сэндвич_batch_14,Сэндвич,Формовка,609,616,7
Чиабатта_batch_1,Чиабатта,Смешивание,609,619,10
Багет луковый_batch_1,Багет луковый,Выпекание,610,628,18
Сэндвич_batch_7,Сэндвич,Выпекание,611,633,22
Датский_batch_1,Датский,Формовка,616,620,4
Сэндвич_batch_14,Сэндвич,Расстойка,616,641,25
Береке_batch_1,Береке,Остывание,617,677,60
Здоровье_batch_1,Здоровье,Выпекание,617,635,18
Сэндвич_batch_11,Сэндвич,Расстойка,619,644,25
Батон Нарезной_batch_2,Батон Нарезной,Комбинирование,620,641,21
Датский_batch_1,Датский,Расстойка,620,645,25
