Batch_ID,Product,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Формовой_batch_16,Формовой,Расстойка,191,216,25
Формовой_batch_13,Формовой,Выпекание,195,240,45
Формовой_batch_14,Формовой,Выпекание,195,240,45
Формовой_batch_10,Формовой,Остывание,198,288,90
Формовой_batch_9,Формовой,Остывание,198,288,90
Формовой_batch_17,Формовой,Формовка,201,212,11
Формовой_batch_18,Формовой,Формовка,201,212,11
Формовой_batch_19,Формовой,Смешивание,210,222,12
Формовой_batch_20,Формовой,Смешивание,210,222,12
Формовой_batch_21,Формовой,Комбинирование,210,231,21
Формовой_batch_22,Формовой,Комбинирование,210,228,18
Формовой_batch_17,Формовой,Расстойка,212,237,25
Формовой_batch_18,Формовой,Расстойка,212,237,25
Формовой_batch_15,Формовой,Выпекание,216,261,45
Формовой_batch_16,Формовой,Выпекание,216,261,45
Формовой_batch_11,Формовой,Остывание,219,309,90
Формовой_batch_12,Формовой,Остывание,219,309,90
Формовой_batch_19,Формовой,Формовка,222,233,11
Формовой_batch_20,Формовой,Формовка,222,233,11
Мини формовой_batch_1,Мини формовой,Комбинирование,228,249,21
Формовой_batch_22,Формовой,Смешивание,228,240,12
Мини формовой_batch_2,Мини формовой,Комбинирование,231,252,21
Формовой_batch_21,Формовой,Смешивание,231,243,12
Формовой_batch_19,Формовой,Расстойка,233,258,25
Формовой_batch_20,Формовой,Расстойка,233,258,25
Формовой_batch_17,Формовой,Выпекание,237,282,45
Формовой_batch_18,Формовой,Выпекание,237,282,45
Формовой_batch_13,Формовой,Остывание,240,330,90
Формовой_batch_14,Формовой,Остывание,240,330,90
Формовой_batch_22,Формовой,Формовка,240,250,10
Формовой_batch_21,Формовой,Формовка,243,254,11
Мини формовой_batch_1,Мини формовой,Смешивание,249,261,12
Мини формовой_batch_3,Мини формовой,Комбинирование,249,270,21
Формовой_batch_22,Формовой,Расстойка,250,275,25
Мини формовой_batch_2,Мини формовой,Смешивание,252,264,12
Мини формовой_batch_4,Мини формовой,Комбинирование,252,269,17
Формовой_batch_21,Формовой,Расстойка,254,279,25
Формовой_batch_19,Формовой,Выпекание,258,303,45
Формовой_batch_20,Формовой,Выпекание,258,303,45
Мини формовой_batch_1,Мини формовой,Формовка,261,272,11
Формовой_batch_15,Формовой,Остывание,261,351,90
Формовой_batch_16,Формовой,Остывание,261,351,90
